Log_ID,Timestamp,Equipment_ID,Equipment_Type,Location,Operator_Shift_Hours,Payload_Weight_lbs,Reported_Incident,Is_Violation,Violation_Type,Expected_Section
LOG-1000,2026-03-29 06:00,GAN-22,Gantry Crane,High-Voltage Line B,10.7,12125,Spreader boom worked within four feet of the energised catenary,1,approach_distance,1910.333
LOG-1001,2026-03-29 06:08,YAR-15,Yard Hostler,Maintenance Track,10.3,56238,Container transferred and seals verified against the manifest,0,None,None
LOG-1002,2026-03-29 06:24,YAR-86,Yard Hostler,Intermodal Ramp,7.2,10968,No exception noted,0,None,None
LOG-1003,2026-03-29 06:36,TER-30,Terminal Tractor,Maintenance Track,7.1,31757,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1004,2026-03-29 06:56,YAR-35,Yard Hostler,Bay 4,9.7,22146,Relief crew arrived and the covered train employee was released on schedule,0,None,None
LOG-1005,2026-03-29 07:05,REA-28,Reach Stacker,Intermodal Ramp,6.1,21135,No exception noted,0,None,None
LOG-1006,2026-03-29 07:24,GAN-23,Gantry Crane,Bay 2,8.8,42182,Portable dockboard shifted under the forklift with no securing device fitted,1,dockboard,1910.26
LOG-1007,2026-03-29 07:24,CON-26,Container Handler,Wheel Shop,9.3,41777,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1008,2026-03-29 07:36,FOR-97,Forklift,Bay 1,9.5,58581,Hours-of-duty record filed and certified at tour end,0,None,None
LOG-1009,2026-03-29 07:12,GAN-14,Gantry Crane,Main Pedestrian Crosswalk,11.1,30708,No exception noted,0,None,None
LOG-1010,2026-03-29 07:20,GAN-41,Gantry Crane,High-Voltage Line B,10.5,21199,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1011,2026-03-29 08:45,TER-76,Terminal Tractor,Main Pedestrian Crosswalk,9.9,38549,Hydraulic fluid pooled across the marked walking route and left unattended,1,housekeeping,1910.22
LOG-1012,2026-03-29 08:24,REA-77,Reach Stacker,Rail Siding 3,7.2,59436,Daily truck inspection completed with no defects found,0,None,None
LOG-1013,2026-03-29 07:05,FOR-40,Forklift,Maintenance Track,11.0,40991,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1014,2026-03-29 07:38,TER-82,Terminal Tractor,Bay 4,6.2,17847,No exception noted,0,None,None
LOG-1015,2026-03-29 09:30,FOR-68,Forklift,Main Pedestrian Crosswalk,6.5,20584,No exception noted,0,None,None
LOG-1016,2026-03-29 09:12,FOR-35,Forklift,High-Voltage Line B,9.3,59809,No exception noted,0,None,None
LOG-1017,2026-03-29 09:41,YAR-64,Yard Hostler,Main Pedestrian Crosswalk,7.4,20901,No exception noted,0,None,None
LOG-1018,2026-03-29 09:00,GAN-70,Gantry Crane,Loading Dock 2,7.3,14784,Container transferred and seals verified against the manifest,0,None,None
LOG-1019,2026-03-29 06:57,FOR-81,Forklift,Bay 1,10.8,33909,Container transferred and seals verified against the manifest,0,None,None
LOG-1020,2026-03-29 11:00,REA-78,Reach Stacker,High-Voltage Line B,6.5,48837,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1021,2026-03-29 07:45,FOR-82,Forklift,Container Stack Row C,6.5,51756,No exception noted,0,None,None
LOG-1022,2026-03-29 11:08,GAN-23,Gantry Crane,Rail Siding 3,7.1,15358,Mast raised inside the approach boundary of a live overhead line,1,approach_distance,1910.333
LOG-1023,2026-03-29 09:04,REA-81,Reach Stacker,High-Voltage Line B,11.6,58826,No exception noted,0,None,None
LOG-1024,2026-03-29 09:36,FOR-18,Forklift,Wheel Shop,6.7,24046,Multi-piece rim assembly inflated outside any restraining device,1,rim_wheel,1910.177
LOG-1025,2026-03-29 11:50,FOR-82,Forklift,Loading Dock 2,9.3,41296,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1026,2026-03-29 12:30,REA-56,Reach Stacker,Container Stack Row C,7.4,51608,Container transferred and seals verified against the manifest,0,None,None
LOG-1027,2026-03-29 08:15,GAN-16,Gantry Crane,Intermodal Ramp,6.4,16647,Worker on the container roof at eight feet with no fall protection rigged,1,fall_protection,1910.28
LOG-1028,2026-03-29 09:44,GAN-77,Gantry Crane,Intermodal Ramp,6.3,36688,Container transferred and seals verified against the manifest,0,None,None
LOG-1029,2026-03-29 07:27,FOR-43,Forklift,Container Stack Row C,7.4,62622,No exception noted,0,None,None
LOG-1030,2026-03-29 11:00,CON-48,Container Handler,Loading Dock 2,12.0,49705,Damaged ladder tagged out of service and removed from the area,0,None,None
LOG-1031,2026-03-29 08:35,GAN-48,Gantry Crane,Rail Siding 3,11.5,21613,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1032,2026-03-29 10:16,YAR-55,Yard Hostler,Rail Siding 3,9.9,61306,Container transferred and seals verified against the manifest,0,None,None
